Composition,Citation,Phase,Density,HV,TestType,YieldStrength,UltimateStrength,Elongation,YoungsModulus
AlCoCrFeNiSi0.8,24,BCC + Im,5.8,NaN,C,2179,2664,2,NaN
AlCoCrFeNiSi,24,BCC,5.7,NaN,C,1110,NaN,NaN,169
AlCoCrFeNiSi,24,BCC + Im,5.7,NaN,C,2411,2950,1,NaN
Al0.2Co1.5CrFeNi1.5Ti0.5,10,FCC,7.6,487,NaN,NaN,NaN,NaN,206
Al0.2Co1.5CrFeNi1.5Ti,10,FCC + Im,7.2,717,NaN,NaN,NaN,NaN,NaN
Al0.5CoCrFeNiTi,9,BCC + Im,6.6,NaN,C,NaN,1600,10,107
AlCoCrFeNiTi0.5,25,FCC,6.4,178,C,2040,3135,24,72
AlCoCrFeNiTi0.5,26,BCC,6.4,178,C,2260,3140,23,178
AlCoCrFeNiTi,26,BCC,6.2,NaN,C,1860,2580,9,90
AlCoCrFeNiTi,9,BCC + Im,6.2,NaN,C,NaN,2280,6,148
AlCoCrFeNiTi1.5,26,BCC + Im,6.1,NaN,C,2220,2720,5,160
Al1.5CoCrFeNiTi,9,BCC,5.9,NaN,C,NaN,2110,10,133
Al2CoCrFeNiTi,9,BCC,5.6,643,C,NaN,1030,5,94
AlCoCrFeNiTiVZr,27,NaN,6.3,780,NaN,NaN,NaN,NaN,NaN
CoCrFeMnNi,28,FCC,8,176,T,208,NaN,62,219
CoCrFeMnNi,29,FCC,8,144,C,230,NaN,75,219
CoCrFeMnNiV0.25,29,FCC,7.9,151,C,200,NaN,75,215
CoCrFeMnNiV0.5,29,FCC,7.8,186,C,620,NaN,75,211
CoCrFeMnNiV0.75,29,FCC + Im,7.7,342,C,740,1325,8,NaN
CoCrFeMnNiV1.0,29,FCC + Im,7.7,650,C,1660,1845,< 1,NaN
Al0.10CoCrFeMnNi,28,FCC,7.9,180,NaN,NaN,NaN,NaN,216
Al0.20CoCrFeMnNi,280,FCC,7.7,171,T,220,NaN,56,214
Al0.38CoCrFeMnNi,28,FCC,7.5,182,T,244,NaN,45,209
Al0.43CoCrFeMnNi,28,FCC + BCC,7.4,183,T,285,NaN,35,208
Al0.49CoCrFeMnNi,28,FCC + BCC,7.4,220,T,331,NaN,29,206
Al0.56CoCrFeMnNi,28,FCC + BCC,7.3,278,T,526,NaN,16,204
Al0.62CoCrFeMnNi,28,FCC + BCC,7.2,405,T,833,NaN,5,203
Al0.68CoCrFeMnNi,28,FCC + BCC,7.2,486,NaN,NaN,NaN,NaN,202
Al0.75CoCrFeMnNi,28,FCC + BCC,7.1,530,NaN,NaN,NaN,NaN,200
Al0.81CoCrFeMnNi,28,FCC + BCC,7,539,NaN,NaN,NaN,NaN,199
Al0.88CoCrFeMnNi,28,FCC + BCC,7,533,NaN,NaN,NaN,NaN,197
Al0.95CoCrFeMnNi,28,FCC + BCC,6.9,535,NaN,NaN,NaN,NaN,196
Al1.25CoCrFeMnNi,28,BCC,6.6,539,NaN,NaN,NaN,NaN,190
CoCrNi,5,FCC,8.3,NaN,T,300,860,60,229
CoMnNi,5,FCC,8.4,NaN,T,231,653,38,202
FeMnNi,5,FCC,8.1,NaN,T,221,602,36,203
CoCrFeNi,5,FCC,8.2,NaN,T,274,708,39,225
CoCrMnNi,5,FCC,8.1,NaN,T,282,694,44,222
CoFeMnNi,5,FCC,8.2,NaN,T,170,550,41,205
Al0.5CrFe1.5MnNi0.5,30,BCC,7,396,NaN,NaN,NaN,NaN,206
Al0.3CrFe1.5MnNi0.5,30,FCC + BCC,7.2,297,NaN,NaN,NaN,NaN,213
AlCoCrFeMo0.5,23,BCC + Im,6.8,857,NaN,NaN,NaN,NaN,NaN
AlCrFeNi,31,BCC,6.3,472,C,1406,2927,29,190
AlCrFeNiMo0.2,31,BCC,6.5,549,C,1487,3222,29,197
AlCrFeNiMo0.5,31,BCC,6.8,622,C,1749,2644,13,205
AlCrFeNiMo0.8,31,BCC + Im,7,854,C,1513,1513,< 1,NaN
AlCrFeNiMo,31,BCC + Im,7.2,905,NaN,NaN,NaN,NaN,NaN
CoCrCuFe,32,FCC,8.2,134,NaN,NaN,NaN,NaN,206
Al0.3CoCrCuFe,32,FCC,7.7,180,NaN,NaN,NaN,NaN,194
Al0.5CoCrCuFe,32,FCC,7.4,207,NaN,NaN,NaN,NaN,187
Al0.8CoCrCuFe,32,FCC + BCC,7,271,NaN,NaN,NaN,NaN,177
AlCoCrCuFe,32,FCC + BCC,6.8,407,NaN,NaN,NaN,NaN,172
Al1.3CoCrCuFe,32,FCC + BCC,6.5,476,NaN,NaN,NaN,NaN,165
Al1.5CoCrCuFe,32,FCC + BCC,6.3,510,NaN,NaN,NaN,NaN,167
Al1.8CoCrCuFe,32,FCC + BCC,6,557,NaN,NaN,NaN,NaN,155
Al2.0CoCrCuFe,32,FCC + BCC,5.9,567,NaN,NaN,NaN,NaN,152
Al2.3CoCrCuFe,32,FCC + BCC,5.7,603,NaN,NaN,NaN,NaN,147
Al2.5CoCrCuFe,32,FCC + BCC,5.6,624,NaN,NaN,NaN,NaN,144
Al2.8CoCrCuFe,32,BCC,5.5,657,NaN,NaN,NaN,NaN,140
Al3.0CoCrCuFe,32,BCC,5.4,644,NaN,NaN,NaN,NaN,138
CoCrCu0.5FeNi,33,FCC,8.3,172,NaN,NaN,NaN,NaN,214
CoCrCuFeNi,34,FCC,8.3,132,C,230,NaN,NaN,56
CoCrCuFeNi,45,FCC,8.3,286,C,230,888,51,56
CoCrCuFeNi,13,FCC,8.3,286,NaN,NaN,NaN,NaN,206
CoCrCuFeNiTi0.5,25,FCC,7.8,NaN,C,700,1650,29,93
CoCrCuFeNiTi0.5,35,FCC,7.8,NaN,C,700,1650,22,99
CoCrCuFeNiTi0.8,35,FCC + Im,7.6,NaN,C,1042,1848,3,128
CoCrCuFeNiTi,35,FCC,7.4,NaN,C,1272,1272,2,77
Al0.25CoCrCu0.5FeNiTi0.5,25,FCC,7.4,NaN,NaN,NaN,NaN,NaN,198
Al0.25CoCrCu0.75FeNiTi0.5,25,FCC,7.5,NaN,C,750,1970,39,103
Al0.3CoCrCuFeNi,34,FCC,7.9,180,NaN,NaN,NaN,NaN,198
Al0.5CoCrCuFeNi,34,FCC,7.6,210,C,388,NaN,NaN,193
Al0.5CoCrCuFeNi,36,NaN,7.6,300,NaN,NaN,NaN,NaN,193
Al0.5CoCrCuFeNi,37,FCC,7.6,225,NaN,NaN,NaN,NaN,193
Al0.5CoCrCuFeNi,38,FCC,7.6,215,NaN,NaN,NaN,NaN,193
Al0.8CoCrCuFeNi,21,FCC + BCC,7.3,270,NaN,NaN,NaN,NaN,187
Al0.8CoCrCuFeNi,34,FCC,7.3,270,NaN,NaN,NaN,NaN,187
AlCoCrCuFeNi,34,FCC + BCC,7.1,406,C,950,NaN,NaN,183
AlCoCrCuFeNi,39,FCC + BCC,7.1,472,NaN,NaN,NaN,NaN,184
AlCoCrCuFeNi,40,FCC + BCC,7.1,NaN,C,1303,NaN,24,183
AlCoCrCuFeMnNi,40,FCC + BCC + Im,7.1,NaN,C,1005,NaN,15,NaN
AlCoCrCuFeNiTi,40,FCC + BCC,6.6,NaN,C,1234,NaN,9,174
AlCoCrCuFeNiV,40,FCC + BCC,6.9,NaN,C,1469,NaN,16,175
Al1.3CoCrCuFeNi,34,FCC + BCC,6.8,470,NaN,NaN,NaN,NaN,178
Al1.5CoCrCuFeNi,34,FCC + BCC,6.6,506,NaN,NaN,NaN,NaN,133
Al1.8CoCrCuFeNi,34,FCC + BCC,6.4,650,NaN,NaN,NaN,NaN,170
Al2CoCrCuFeNi,34,FCC + BCC,6.3,560,C,1620,NaN,NaN,167
Al2.3CoCrCuFeNi,34,FCC + BCC,6.1,600,NaN,NaN,NaN,NaN,163
Al2.5CoCrCuFeNi,34,FCC + BCC,6,620,NaN,NaN,NaN,NaN,161
Al2.8CoCrCuFeNi,34,BCC,5.8,650,NaN,NaN,NaN,NaN,157
Al3CoCrCuFeNi,41,BCC,5.7,640,NaN,NaN,NaN,NaN,153
Al0.5B0.2CoCrCuFeNi,36,NaN,7.7,415,NaN,NaN,NaN,NaN,NaN
Al0.5B0.6CoCrCuFeNi,36,NaN,7.7,505,NaN,NaN,NaN,NaN,NaN
Al0.5BCoCrCuFeNi,36,NaN,7.8,736,NaN,NaN,NaN,NaN,NaN
Al0.5CoCrCu0.5FeNiTi0.5,25,FCC + BCC,7.1,NaN,C,1580,2389,17,161
Al0.5CoCrCuFeNiTi0.2,37,FCC,7.5,272,NaN,NaN,NaN,NaN,191
Al0.5CoCrCuFeNiTi0.4,37,FCC,7.3,321,NaN,NaN,NaN,NaN,188
Al0.5CoCrCuFeNiTi0.6,37,FCC + BCC,7.2,458,NaN,NaN,NaN,NaN,186
Al0.5CoCrCuFeNiTi0.8,37,FCC + BCC,7.1,590,NaN,NaN,NaN,NaN,184
Al0.5CoCrCuFeNiTi,37,FCC + BCC + Im,7,636,NaN,NaN,NaN,NaN,NaN
Al0.5CoCrCuFeNiTi1.2,37,FCC + BCC + Im,6.9,646,NaN,NaN,NaN,NaN,NaN
Al0.5CoCrCuFeNiTi1.4,37,FCC + BCC + Im,6.8,664,NaN,NaN,NaN,NaN,NaN
Al0.5CoCrCuFeNiTi1.6,37,FCC + BCC + Im,6.7,657,NaN,NaN,NaN,NaN,NaN
Al0.5CoCrCuFeNiTi1.8,37,FCC + BCC + Im,6.6,667,NaN,NaN,NaN,NaN,NaN
Al0.5CoCrCuFeNiTi2,37,FCC + BCC + Im,6.5,696,NaN,NaN,NaN,NaN,NaN
Al0.5CoCrCuFeNiV0.2,38,FCC,7.6,204,NaN,NaN,NaN,NaN,191
Al0.5CoCrCuFeNiV0.4,38,FCC + BCC,7.5,231,NaN,NaN,NaN,NaN,189
Al0.5CoCrCuFeNiV0.6,38,FCC + BCC + Im,7.5,328,NaN,NaN,NaN,NaN,NaN
Al0.5CoCrCuFeNiV0.8,38,FCC + BCC + Im,7.4,447,NaN,NaN,NaN,NaN,NaN
Al0.5CoCrCuFeNiV1.0,38,FCC + BCC + Im,7.4,639,NaN,NaN,NaN,NaN,NaN
Al0.5CoCrCuFeNiV1.2,38,BCC,7.3,579,NaN,NaN,NaN,NaN,182
Al0.5CoCrCuFeNiV1.4,38,BCC,7.3,577,NaN,NaN,NaN,NaN,180
Al0.5CoCrCuFeNiV1.6,38,BCC,7.2,594,NaN,NaN,NaN,NaN,179
Al0.5CoCrCuFeNiV1.8,38,BCC,7.2,597,NaN,NaN,NaN,NaN,177
Al0.5CoCrCuFeNiV2.0,38,BCC,7.2,587,NaN,NaN,NaN,NaN,176
Al0.75CoCrCu0.25FeNiTi0.5,25,FCC + BCC,6.8,NaN,C,1900,2697,12,164
AlCoCrCuNiTi,42,BCC,6.4,NaN,C,NaN,1495,8,36
AlCoCrCuNiTiY0.5,42,Im,6.1,NaN,C,NaN,1025,3,36
AlCoCrCuNiTiY0.8,42,Im,5.9,NaN,C,NaN,1325,5,38
AlCoCrCuNiTiY,42,Im,5.8,NaN,C,NaN,1192,4,37
AlCoFeNi,4,BCC,6.6,456,C,964,NaN,NaN,173
AlCoFeNiTiVZr,27,BCC,6.2,790,NaN,NaN,NaN,NaN,143
CoCuFeNi,43,FCC,8.6,NaN,T,NaN,480,15,188
CoCuFeNiSn0.02,43,FCC,8.6,NaN,T,NaN,548,17,187
CoCuFeNiSn0.04,43,FCC + Im,8.6,NaN,T,NaN,594,18,NaN
CoCuFeNiSn0.05,43,FCC + Im,8.6,NaN,T,NaN,615,20,NaN
CoCuFeNiSn0.07,43,FCC + Im,8.6,NaN,T,NaN,632,19,NaN
CoCuFeNiSn0.1,43,FCC + Im,8.6,NaN,T,NaN,602,5,NaN
CoCuFeNiSn0.2,43,FCC + Im,8.5,NaN,T,NaN,261,2,NaN
CoCuFeNiSn0.5,43,FCC + Im,8.3,NaN,NaN,NaN,NaN,NaN,NaN
AlCoCuFeNi,39,FCC + BCC,7,536,NaN,NaN,NaN,NaN,164
AlCoCuFeNbNi,39,Im,7.4,578,NaN,NaN,NaN,NaN,NaN
AlCoCuFeNiSi,39,FCC + BCC,5.9,682,NaN,NaN,NaN,NaN,145
AlCoCuFeNiTi,39,FCC + BCC,6.5,626,NaN,NaN,NaN,NaN,156
AlCoCuFeNiZr,39,FCC + BCC + Im,6.9,472,NaN,NaN,NaN,NaN,NaN
CoCuFeMnNi,44,FCC,8.4,208,T,NaN,478,14,190
CoCuFeMnNiSn0.03,44,FCC,8.4,192,T,NaN,465,18,NaN
CoCuFeMnNiSn0.05,44,FCC + Im,8.4,205,T,NaN,475,12,NaN
CoCuFeMnNiSn0.08,44,FCC + Im,8.3,219,T,NaN,425,7,NaN
CoCuFeMnNiSn0.10,44,FCC + Im,8.3,253,T,NaN,470,6,NaN
CoCuFeMnNiSn0.20,44,FCC + Im,8.3,319,T,NaN,368,2,NaN
CrCuFeMnNi,13,FCC + BCC,8.1,296,NaN,NaN,NaN,NaN,204
CrCuFeMoNi,13,FCC,8.7,263,NaN,NaN,NaN,NaN,230
AlCrCuFeNi0.6,45,FCC + BCC,6.6,496,NaN,NaN,NaN,NaN,176
AlCrCuFeNi0.8,45,FCC + BCC,6.7,486,NaN,NaN,NaN,NaN,177
AlCrCuFeNi,45,FCC + BCC,6.8,495,NaN,NaN,NaN,NaN,178
AlCrCuFeNi1.2,45,FCC + BCC,6.8,407,NaN,NaN,NaN,NaN,179
AlCrCuFeNi1.4,45,FCC + BCC,6.9,367,NaN,NaN,NaN,NaN,180
AlCrCuFeNi2,46,FCC + BCC,7.1,NaN,NaN,NaN,NaN,NaN,182
AlCrCuFeNiTi,47,BCC + Im,6.3,NaN,C,NaN,1219,NaN,NaN
Al0.2CrCuFeNi2,46,FCC,8,NaN,NaN,NaN,NaN,NaN,199
Al0.4CrCuFeNi2,46,FCC,7.8,NaN,NaN,NaN,NaN,NaN,194
Al0.6CrCuFeNi2,46,FCC,7.5,NaN,NaN,NaN,NaN,NaN,190
Al0.8CrCuFeNi2,46,FCC,7.3,NaN,NaN,NaN,NaN,NaN,186
Al1.2CrCuFeNi2,46,FCC + BCC,6.9,NaN,NaN,NaN,NaN,NaN,178
AlCrCuFeNi,13,FCC + BCC,6.8,342,NaN,NaN,NaN,NaN,178
Al1.125CuFe0.75NiTi1.125,48,FCC,5.9,516,C,980,1326,7,145
Al22.5Cu20Fe15Ni20Ti22.5,48,FCC,5.9,516,C,980,1326,7,145
AlCuFeNiTi,48,FCC,6.1,516,C,1074,1617,8,146
AlCuNiTi,48,FCC,5.7,537,C,300,536,< 1,108
AlLi0.5MgSn0.2Zn0.5,49,FCC + Im,2.9,NaN,C,546,546,NaN,NaN
AlLiMg0.5ScTi1.5,50,FCC + HCP,2.7,591,NaN,NaN,NaN,NaN,69
AlLiMgSnZn,49,FCC + HCP + Im,3.9,NaN,C,600,615,1,NaN
Al8Li0.5Mg0.5Sn0.5Zn0.5,49,FCC + Im,3,NaN,C,415,836,16,NaN
Al8Cu0.5Li0.5Mg0.5Zn0.5,49,FCC + Im,2.9,NaN,C,488,879,17,NaN
AlCu0.2Li0.5MgZn0.5,49,Im,2.7,NaN,NaN,NaN,NaN,NaN,NaN
AlCu0.5Li0.5MgSn0.2,49,Im,3,NaN,NaN,NaN,NaN,NaN,NaN
AlCr0.5NbTiV,51,BCC,5.6,NaN,C,1300,1430,< 1,124
AlCrNbTiV,51,BCC + Im,5.8,NaN,C,1550,1570,< 1,NaN
AlCr1.5NbTiV,51,FCC + Im,5.9,NaN,C,1700,1700,< 1,NaN
Al0.4Hf0.6NbTaTiZr,52,BCC,9.1,500,C,1841,2269,10,110
Al0.3HfNbTaTiZr,53,BCC,9.5,353,C,1188,NaN,50,63
Al0.5HfNbTaTiZr,53,BCC,9.3,396,C,1302,NaN,46,97
Al0.75HfNbTaTiZr,53,BCC,9.3,427,C,1415,NaN,30,102
AlMo0.5NbTa0.5TiZr,52,BCC,7.1,591,C,2000,2368,10,123
Al0.25MoNbTiV,54,BCC,7.1,460,C,1250,NaN,13,164
Al0.5MoNbTiV,54,BCC,6.8,487,C,1625,NaN,11,158
Al0.75MoNbTiV,54,BCC,6.6,517,C,1260,NaN,8,154
AlMoNbTiV,54,BCC,6.4,537,C,1375,NaN,3,150
Al0.25NbTaTiV,55,BCC,8.8,NaN,C,1330,NaN,NaN,92
Al0.5NbTaTiV,55,BCC,8.5,NaN,C,1014,NaN,NaN,97
AlNbTaTiV,55,BCC,7.9,NaN,C,993,NaN,NaN,101
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,52,BCC,7.7,500,C,1965,2061,5,110
Al0.5NbTa0.8Ti1.5V0.2Zr,52,BCC,7.6,530,C,2035,2105,5,111
Al0.3NbTaTi1.4Zr1.3,52,BCC,8.1,490,C,1965,2054,5,113
AlNb1.5Ta0.5Ti1.5Zr0.5,52,BCC,6.8,408,C,1280,1367,4,106
AlNbTiV,56,BCC,5.5,448,C,1020,1318,5,105
AlNbTiV,51,BCC,5.5,NaN,C,1000,1280,5,105
CrHfNbTiZr,57,BCC + lm,8.2,464,C,1375,2130,3,112
CrMo0.5NbTa0.5TiZr,58,BCC + Im,8,540,C,1595,2046,5,NaN
CrNbTiVZr,59,BCC + Im,6.6,482,C,1298,NaN,3,NaN
CrNbTiZr,59,BCC + Im,6.6,418,C,1260,NaN,6,NaN
FeMoNiTiVZr,27,BCC + Im,7.1,740,NaN,NaN,NaN,NaN,NaN
Hf0.5Mo0.5NbTiZr,60,BCC + Im,7.9,400,C,1178,NaN,25,NaN
Hf0.5Mo0.5NbSi0.1TiZr,60,BCC + Im,7.7,442,C,1365,NaN,28,NaN
Hf0.5Mo0.5NbSi0.3TiZr,60,BCC + Im,7.5,494,C,1428,NaN,23,NaN
Hf0.5Mo0.5NbSi0.5TiZr,60,BCC + Im,7.2,524,C,1605,NaN,23,NaN
Hf0.5Mo0.5NbSi0.7TiZr,60,BCC + Im,7,580,C,1604,NaN,12,NaN
Hf0.5Mo0.5NbSi0.9TiZr,60,BCC + Im,6.8,640,C,1677,NaN,9,NaN
Hf0.5Mo0.5NbTiZrC0.1,61,BCC + lm,7.8,NaN,C,1183,2139,38,NaN
Hf0.5Mo0.5NbTiZrC0.3,61,BCC + lm,7.7,NaN,C,1201,1965,33,NaN
HfMo0.25NbTaTiZr,62,BCC,9.9,395,C,1112,NaN,50,96
HfMo0.5NbTaTiZr,62,BCC,10,480,C,1317,NaN,50,102
HfMo0.75NbTaTiZr,62,BCC,10,492,C,1373,NaN,50,109
HfMoNbTaTiZr,63,BCC,10,505,C,1512,NaN,12,147
HfMoNbTaTiZr,62,BCC,10,505,C,1512,NaN,12,115
HfMoTaTiZr,63,BCC,10.2,542,C,1600,NaN,4,155
HfMoNbZrTi,64,BCC,8.7,NaN,C,1803,1719,10,139
HfNbSi0.5TiV,65,BCC + lm,8.6,490,C,1399,1608,11,NaN
HfNbSi0.5TiVZr,66,BCC + lm,7.8,464,C,1540,1643,17,NaN
HfNbTaZr,67,BCC,11.1,365,C,1315,NaN,NaN,109
Hf0.5Nb0.5Ta0.5Ti1.5Zr,68,BCC,8.1,301,T,903,990,19,107
HfNbTaTiZr,62,BCC,9.9,335,C,1015,NaN,50,85
HfNbTaTiZr,53,BCC,9.7,295,C,1073,NaN,50,55
HfNbTaTiZr,"69,7",BCC,9.9,390,C,929,NaN,50,111
HfNbTiVZr,57,BCC + lm,8.1,388,C,1170,1463,30,128
HfNbTiZr,71,BCC,8.4,NaN,T,879,969,15,92
MoNbTaV,72,BCC,10.7,504,C,1525,2400,21,187
MoNbTaVW,73,BCC,12.4,536,C,1246,1270,2,232
MoNbTaW,73,BCC,13.7,454,C,1058,1211,2,258
MoNbTiV,54,BCC,7.3,441,C,1200,NaN,26,170
